# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-26_HA_F446-90_0086_14-051
# Object: W3
# Date: 2017-10-26T06:06:35.650 (MJD: 58052.25538002315)
# Project: 90_0086_14
# Exposure: 81.11112 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: 41d08m26.20s 52d41m01.90s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[3,19]	1.007 	3.530E-4 	-	0.844	1.000	1.000	115	0	3	19
R0[3,21]	0.986 	3.233E-4 	-	0.899	1.000	1.000	117	0	3	21
R0[3,22]	0.002 	4.243E-4 	gn	-32.671	1.000	1.000	118	0	3	22
R0[3,23]	0.981 	3.512E-4 	-	0.878	1.000	1.000	119	0	3	23
R0[3,24]	0.001 	5.478E-4 	gn	-45.017	1.000	1.000	120	0	3	24
R0[3,25]	0.973 	2.953E-4 	-	0.899	1.000	1.000	121	0	3	25
R0[3,26]	0.951 	4.205E-4 	-	0.886	1.000	1.000	122	0	3	26
R0[3,28]	0.812 	4.483E-4 	-	0.899	1.000	1.000	124	0	3	28
R0[3,29]	0.882 	3.368E-4 	-	0.933	1.000	1.000	125	0	3	29
R0[3,30]	0.819 	9.278E-5 	-	0.904	1.000	1.000	126	0	3	30
R0[3,31]	0.700 	3.168E-4 	-	0.853	1.000	1.000	127	0	3	31
R0[4,0]	0.446 	2.403E-5 	n	-0.019	1.000	1.000	128	0	4	0
R0[4,1]	0.440 	2.556E-5 	n	-0.048	1.000	1.000	129	0	4	1
R0[4,2]	0.444 	2.486E-5 	n	-0.072	1.000	1.000	130	0	4	2
R0[4,3]	0.443 	2.622E-5 	n	-0.044	1.000	1.000	131	0	4	3
R0[4,4]	0.504 	4.572E-5 	n	0.086	1.000	1.000	132	0	4	4
R0[4,5]	0.575 	5.991E-5 	n	0.122	1.000	1.000	133	0	4	5
R0[4,7]	0.954 	5.577E-5 	-	0.635	1.000	1.000	135	0	4	7
R0[4,8]	0.001 	2.142E-4 	gn	-162.820	1.000	1.000	136	0	4	8
R0[4,9]	0.831 	3.999E-4 	-	0.824	1.000	1.000	137	0	4	9
R0[4,10]	0.836 	5.944E-4 	-	0.861	1.000	1.000	138	0	4	10
R0[4,11]	-0.001 	1.959E-4 	gn	74.771	1.000	1.000	139	0	4	11
R0[4,12]	0.889 	2.250E-4 	-	0.859	1.000	1.000	140	0	4	12
R0[4,13]	0.884 	4.274E-4 	-	0.800	1.000	1.000	141	0	4	13
R0[4,14]	0.908 	5.505E-4 	-	0.748	1.000	1.000	142	0	4	14
R0[4,15]	1.107 	1.551E-4 	-	0.713	1.000	1.000	143	0	4	15
R0[4,16]	0.964 	4.500E-4 	-	0.801	1.000	1.000	144	0	4	16
R0[4,17]	0.917 	4.489E-4 	-	0.797	1.000	1.000	145	0	4	17
R0[4,18]	0.961 	3.095E-4 	-	0.836	1.000	1.000	146	0	4	18
R0[4,19]	0.000 	2.748E-4 	gn	-207.022	1.000	1.000	147	0	4	19
R0[4,21]	0.164 	6.009E-4 	gn	0.390	1.000	1.000	149	0	4	21
R0[4,22]	0.869 	3.600E-4 	-	0.846	1.000	1.000	150	0	4	22
R0[4,23]	0.892 	2.910E-4 	-	0.904	1.000	1.000	151	0	4	23
R0[4,24]	0.001 	4.598E-4 	gn	-43.713	1.000	1.000	152	0	4	24
R0[4,25]	0.877 	1.976E-4 	-	0.895	1.000	1.000	153	0	4	25
R0[4,26]	0.851 	5.204E-4 	-	0.878	1.000	1.000	154	0	4	26
R0[4,28]	0.004 	2.139E-3 	gn	8.891	1.000	1.000	156	0	4	28
R0[4,29]	0.803 	3.954E-4 	-	0.981	1.000	1.000	157	0	4	29
R0[4,30]	0.802 	3.086E-4 	-	0.962	1.000	1.000	158	0	4	30
R0[4,31]	0.729 	5.805E-4 	-	0.935	1.000	1.000	159	0	4	31
R0[5,0]	0.524 	1.707E-5 	n	0.025	1.000	1.000	160	0	5	0
R0[5,1]	0.565 	1.482E-5 	n	-0.045	1.000	1.000	161	0	5	1
R0[5,2]	0.446 	2.398E-5 	n	-0.031	1.000	1.000	162	0	5	2
R0[5,3]	0.489 	2.041E-5 	n	-0.003	1.000	1.000	163	0	5	3
R0[5,4]	0.551 	3.655E-5 	n	0.080	1.000	1.000	164	0	5	4
R0[5,5]	0.626 	4.736E-5 	n	0.114	1.000	1.000	165	0	5	5
R0[5,7]	0.777 	5.044E-4 	-	0.731	1.000	1.000	167	0	5	7
R0[5,8]	0.029 	2.339E-4 	gn	-2.142	1.000	1.000	168	0	5	8
R0[5,9]	0.841 	4.975E-4 	-	0.846	1.000	1.000	169	0	5	9
R0[5,10]	0.884 	4.669E-4 	-	0.874	1.000	1.000	170	0	5	10
R0[5,11]	0.962 	2.483E-4 	-	0.869	1.000	1.000	171	0	5	11
R0[5,12]	-0.001 	2.474E-4 	gn	73.734	1.000	1.000	172	0	5	12
R0[5,13]	0.903 	4.013E-4 	-	0.859	1.000	1.000	173	0	5	13
R0[5,14]	0.967 	1.825E-4 	-	0.738	1.000	1.000	174	0	5	14
R0[5,15]	1.029 	3.581E-4 	-	0.747	1.000	1.000	175	0	5	15
R0[5,16]	1.215 	9.514E-5 	-	0.770	1.000	1.000	176	0	5	16
R0[5,17]	1.025 	2.663E-4 	-	0.772	1.000	1.000	177	0	5	17
R0[5,18]	0.984 	2.201E-4 	-	0.788	1.000	1.000	178	0	5	18
R0[5,19]	0.989 	2.063E-4 	-	0.825	1.000	1.000	179	0	5	19
R0[5,21]	0.889 	5.022E-4 	-	0.838	1.000	1.000	181	0	5	21
R0[5,22]	0.902 	4.412E-4 	-	0.828	1.000	1.000	182	0	5	22
R0[5,23]	0.906 	4.228E-4 	-	0.864	1.000	1.000	183	0	5	23
R0[5,24]	0.000 	4.655E-4 	gn	-305.101	1.000	1.000	184	0	5	24
R0[5,25]	0.895 	3.579E-4 	-	0.902	1.000	1.000	185	0	5	25
R0[5,26]	0.613 	7.125E-4 	-	0.849	1.000	1.000	186	0	5	26
R0[5,28]	0.845 	2.786E-4 	-	0.957	1.000	1.000	188	0	5	28
R0[5,29]	0.881 	3.132E-4 	-	1.028	1.000	1.000	189	0	5	29
R0[5,30]	0.885 	5.966E-5 	-	1.104	1.000	1.000	190	0	5	30
R0[5,31]	0.802 	5.601E-4 	-	1.025	1.000	1.000	191	0	5	31
R0[6,0]	0.476 	2.066E-5 	n	0.041	1.000	1.000	192	0	6	0
R0[6,1]	0.475 	2.068E-5 	n	0.013	1.000	1.000	193	0	6	1
R0[6,2]	0.445 	2.373E-5 	n	-0.036	1.000	1.000	194	0	6	2
R0[6,3]	0.727 	9.128E-6 	n	-0.065	1.000	1.000	195	0	6	3
R0[6,4]	0.670 	2.168E-5 	n	0.029	1.000	1.000	196	0	6	4
R0[6,5]	0.867 	1.791E-5 	n	0.115	1.000	1.000	197	0	6	5
R0[6,7]	0.802 	4.017E-4 	-	0.767	1.000	1.000	199	0	6	7
R0[6,8]	0.844 	4.061E-4 	-	0.842	1.000	1.000	200	0	6	8
R0[6,9]	0.914 	4.430E-4 	-	0.879	1.000	1.000	201	0	6	9
