# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 209.17871999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[6,3]	1.102 	2.052E-4 	-	0.943	1.000	1.000	195	0	6	3
R0[6,4]	0.933 	3.118E-5 	n	0.787	1.000	1.000	196	0	6	4
R0[6,5]	1.155 	3.700E-4 	-	0.740	1.000	1.000	197	0	6	5
R0[6,7]	0.847 	4.965E-4 	-	0.910	1.000	1.000	199	0	6	7
R0[6,8]	0.885 	4.685E-4 	-	0.872	1.000	1.000	200	0	6	8
R0[6,9]	0.943 	4.727E-4 	-	0.865	1.000	1.000	201	0	6	9
R0[6,10]	1.018 	2.082E-4 	-	0.833	1.000	1.000	202	0	6	10
R0[6,11]	0.002 	1.171E-2 	gn	-1.905	1.000	1.000	203	0	6	11
R0[6,12]	0.928 	2.299E-4 	-	0.823	1.000	1.000	204	0	6	12
R0[6,13]	0.973 	3.982E-4 	-	0.791	1.000	1.000	205	0	6	13
R0[6,14]	1.001 	3.819E-4 	-	0.769	1.000	1.000	206	0	6	14
R0[6,15]	1.067 	2.998E-4 	-	0.760	1.000	1.000	207	0	6	15
R0[6,16]	1.182 	2.303E-5 	-	0.690	1.000	1.000	208	0	6	16
R0[6,17]	0.002 	1.167E-2 	gn	-4.537	1.000	1.000	209	0	6	17
R0[6,18]	0.002 	9.277E-4 	gn	-5.111	1.000	1.000	210	0	6	18
R0[6,19]	0.942 	4.381E-4 	-	0.771	1.000	1.000	211	0	6	19
R0[6,21]	1.021 	4.079E-4 	-	1.534	1.000	1.000	213	0	6	21
R0[6,22]	1.007 	4.727E-4 	-	0.755	1.000	1.000	214	0	6	22
R0[6,23]	0.963 	3.559E-4 	-	0.730	1.000	1.000	215	0	6	23
R0[6,24]	0.000 	8.377E-3 	gn	0.000	1.000	1.000	216	0	6	24
R0[6,25]	0.935 	4.627E-4 	-	0.719	1.000	1.000	217	0	6	25
R0[6,26]	1.013 	4.207E-4 	-	0.742	1.000	1.000	218	0	6	26
R0[7,0]	0.542 	7.948E-4 	-	1.102	1.000	1.000	224	0	7	0
R0[7,1]	0.602 	7.460E-4 	-	1.056	1.000	1.000	225	0	7	1
R0[7,2]	0.017 	6.377E-3 	gn	0.175	1.000	1.000	226	0	7	2
R0[7,3]	0.703 	6.057E-4 	-	0.953	1.000	1.000	227	0	7	3
R0[7,4]	0.915 	4.938E-4 	-	0.841	1.000	1.000	228	0	7	4
R0[7,5]	0.990 	4.412E-4 	-	0.841	1.000	1.000	229	0	7	5
R0[7,7]	0.894 	4.376E-4 	s	0.897	1.000	1.000	231	0	7	7
R0[7,8]	0.912 	4.833E-4 	-	0.871	1.000	1.000	232	0	7	8
R0[7,9]	1.013 	4.541E-4 	-	0.838	1.000	1.000	233	0	7	9
R0[7,10]	1.104 	4.005E-4 	-	0.810	1.000	1.000	234	0	7	10
R0[7,11]	1.042 	3.517E-4 	-	0.822	1.000	1.000	235	0	7	11
R0[7,12]	0.975 	4.305E-4 	-	0.799	1.000	1.000	236	0	7	12
R0[7,13]	1.010 	3.592E-4 	-	0.777	1.000	1.000	237	0	7	13
R0[7,14]	0.992 	4.125E-4 	-	0.763	1.000	1.000	238	0	7	14
R0[7,15]	1.010 	3.179E-4 	-	0.770	1.000	1.000	239	0	7	15
R0[7,16]	1.289 	3.241E-4 	-	0.650	1.000	1.000	240	0	7	16
R0[7,17]	1.019 	3.689E-4 	-	0.752	1.000	1.000	241	0	7	17
R0[7,18]	1.016 	4.003E-4 	-	0.755	1.000	1.000	242	0	7	18
R0[7,19]	1.021 	3.982E-4 	-	0.755	1.000	1.000	243	0	7	19
R0[7,21]	1.112 	3.973E-4 	-	0.740	1.000	1.000	245	0	7	21
R0[7,22]	1.113 	3.994E-4 	-	0.722	1.000	1.000	246	0	7	22
R0[7,23]	0.987 	3.632E-4 	-	0.740	1.000	1.000	247	0	7	23
R0[7,24]	0.000 	8.438E-3 	gn	0.000	1.000	1.000	248	0	7	24
R0[7,25]	1.084 	3.901E-4 	-	0.744	1.000	1.000	249	0	7	25
R0[7,26]	1.113 	3.923E-4 	-	0.735	1.000	1.000	250	0	7	26
R0[8,0]	0.000 	1.176E-2 	gn	-40.312	1.000	1.000	256	0	8	0
R0[8,1]	0.632 	6.978E-4 	-	1.019	1.000	1.000	257	0	8	1
R0[8,2]	0.277 	2.541E-3 	g	1.126	1.000	1.000	258	0	8	2
R0[8,3]	0.734 	5.095E-4 	-	0.928	1.000	1.000	259	0	8	3
R0[8,4]	0.865 	5.362E-4 	-	0.868	1.000	1.000	260	0	8	4
R0[8,5]	0.070 	5.848E-3 	g	0.958	1.000	1.000	261	0	8	5
R0[8,7]	0.001 	9.840E-3 	gn	-2.459	1.000	1.000	263	0	8	7
R0[8,8]	0.957 	4.523E-4 	-	0.857	1.000	1.000	264	0	8	8
R0[8,9]	0.989 	4.070E-4 	-	0.853	1.000	1.000	265	0	8	9
R0[8,10]	1.095 	3.967E-4 	-	0.794	1.000	1.000	266	0	8	10
