# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-26_HA_F446-90_0086_12-068
# Object: W3
# Date: 2017-10-26T06:53:59.610 (MJD: 58052.28829622685)
# Project: 90_0086_12
# Exposure: 79.73352 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: 34d42m36.48s 58d06m46.22s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[6,16]	0.824 	5.683E-5 	-	1.064	1.000	1.000	208	0	6	16
R0[6,17]	0.014 	3.806E-5 	gn	-6.015	1.000	1.000	209	0	6	17
R0[6,18]	0.013 	3.718E-5 	gn	-6.623	1.000	1.000	210	0	6	18
R0[6,19]	0.731 	1.615E-4 	-	0.982	1.000	1.000	211	0	6	19
R0[6,21]	0.769 	1.267E-4 	-	0.988	1.000	1.000	213	0	6	21
R0[6,22]	0.762 	1.440E-4 	-	0.962	1.000	1.000	214	0	6	22
R0[6,23]	0.731 	1.158E-4 	-	0.944	1.000	1.000	215	0	6	23
R0[6,24]	0.013 	3.504E-5 	gn	-7.849	1.000	1.000	216	0	6	24
R0[6,25]	0.714 	1.672E-4 	-	0.862	1.000	1.000	217	0	6	25
R0[6,26]	0.780 	1.451E-4 	-	0.886	1.000	1.000	218	0	6	26
R0[6,28]	0.009 	1.249E-4 	gn	-6.104	1.000	1.000	220	0	6	28
R0[6,29]	0.712 	8.461E-5 	-	0.948	1.000	1.000	221	0	6	29
R0[6,30]	0.010 	1.365E-4 	gn	-6.349	1.000	1.000	222	0	6	30
R0[6,31]	0.608 	2.835E-4 	-	0.963	1.000	1.000	223	0	6	31
R0[7,0]	0.345 	3.828E-4 	-	0.960	1.000	1.000	224	0	7	0
R0[7,1]	0.569 	3.862E-4 	-	1.019	1.000	1.000	225	0	7	1
R0[7,2]	0.013 	2.228E-4 	gn	-2.036	1.000	1.000	226	0	7	2
R0[7,3]	0.596 	1.764E-4 	-	1.144	1.000	1.000	227	0	7	3
R0[7,4]	0.696 	8.352E-5 	-	1.262	1.000	1.000	228	0	7	4
R0[7,5]	0.820 	1.004E-4 	-	1.076	1.000	1.000	229	0	7	5
R0[7,7]	0.724 	1.597E-4 	-	1.052	1.000	1.000	231	0	7	7
R0[7,8]	0.727 	1.674E-4 	-	1.048	1.000	1.000	232	0	7	8
R0[7,9]	0.789 	1.025E-4 	-	1.091	1.000	1.000	233	0	7	9
R0[7,10]	0.837 	8.026E-5 	-	1.120	1.000	1.000	234	0	7	10
R0[7,11]	0.820 	8.749E-5 	-	1.134	1.000	1.000	235	0	7	11
R0[7,12]	0.761 	1.607E-4 	-	1.030	1.000	1.000	236	0	7	12
R0[7,13]	0.758 	1.438E-4 	-	1.053	1.000	1.000	237	0	7	13
R0[7,14]	0.746 	1.357E-4 	-	1.031	1.000	1.000	238	0	7	14
R0[7,15]	0.754 	1.048E-4 	-	1.035	1.000	1.000	239	0	7	15
R0[7,16]	4.099 	8.186E-9 	gn	0.476	1.000	1.000	240	0	7	16
R0[7,17]	0.778 	7.527E-5 	-	1.033	1.000	1.000	241	0	7	17
R0[7,18]	-2.502 	1.004E-8 	gn	-5.232	1.000	1.000	242	0	7	18
R0[7,19]	0.785 	5.635E-5 	-	1.117	1.000	1.000	243	0	7	19
R0[7,21]	0.835 	1.034E-4 	-	0.956	1.000	1.000	245	0	7	21
R0[7,22]	0.824 	9.292E-5 	-	0.954	1.000	1.000	246	0	7	22
R0[7,23]	0.761 	1.420E-4 	-	0.934	1.000	1.000	247	0	7	23
R0[7,24]	0.015 	3.568E-5 	gn	-6.868	1.000	1.000	248	0	7	24
R0[7,25]	0.798 	9.547E-5 	-	0.922	1.000	1.000	249	0	7	25
R0[7,26]	0.854 	9.513E-5 	-	0.899	1.000	1.000	250	0	7	26
R0[7,28]	6.978 	1.144E-8 	gn	1.443	1.000	1.000	252	0	7	28
R0[7,29]	0.701 	9.857E-5 	-	0.966	1.000	1.000	253	0	7	29
R0[7,30]	0.655 	1.625E-4 	-	0.967	1.000	1.000	254	0	7	30
R0[7,31]	0.533 	2.525E-4 	-	0.900	1.000	1.000	255	0	7	31
R0[8,0]	0.003 	2.466E-4 	gn	-10.920	1.000	1.000	256	0	8	0
R0[8,1]	0.573 	3.828E-4 	-	1.058	1.000	1.000	257	0	8	1
R0[8,2]	0.181 	3.262E-4 	gn	0.797	1.000	1.000	258	0	8	2
R0[8,3]	0.663 	1.480E-4 	-	1.092	1.000	1.000	259	0	8	3
R0[8,4]	0.713 	1.925E-4 	-	1.111	1.000	1.000	260	0	8	4
R0[8,5]	0.040 	9.734E-5 	gn	0.184	1.000	1.000	261	0	8	5
R0[8,7]	0.007 	8.405E-5 	gn	-3.756	1.000	1.000	263	0	8	7
R0[8,8]	0.756 	1.473E-4 	-	1.092	1.000	1.000	264	0	8	8
R0[8,9]	0.774 	1.157E-4 	-	1.109	1.000	1.000	265	0	8	9
R0[8,10]	0.828 	7.581E-5 	-	1.139	1.000	1.000	266	0	8	10
R0[8,11]	0.811 	9.132E-5 	-	1.103	1.000	1.000	267	0	8	11
R0[8,12]	0.814 	1.192E-4 	-	1.009	1.000	1.000	268	0	8	12
R0[8,13]	0.781 	1.313E-4 	-	1.041	1.000	1.000	269	0	8	13
R0[8,14]	0.769 	1.415E-4 	-	1.028	1.000	1.000	270	0	8	14
R0[8,15]	0.763 	7.656E-5 	-	1.100	1.000	1.000	271	0	8	15
R0[8,16]	0.783 	8.043E-5 	-	1.024	1.000	1.000	272	0	8	16
R0[8,17]	0.781 	1.065E-4 	-	1.009	1.000	1.000	273	0	8	17
R0[8,18]	0.595 	1.423E-4 	-	1.014	1.000	1.000	274	0	8	18
R0[8,19]	0.013 	3.894E-5 	gn	-5.156	1.000	1.000	275	0	8	19
R0[8,21]	0.014 	3.144E-5 	gn	-4.415	1.000	1.000	277	0	8	21
R0[8,22]	0.910 	3.911E-5 	-	0.947	1.000	1.000	278	0	8	22
