# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.376 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[4,22]	0.845 	1.439E-3 	-	0.637	1.000	1.000	150	0	4	22
R0[4,23]	0.869 	1.424E-3 	-	0.634	1.000	1.000	151	0	4	23
R0[4,24]	0.000 	7.472E-3 	gn	-27.487	1.000	1.000	152	0	4	24
R0[4,25]	0.865 	9.394E-4 	-	0.652	1.000	1.000	153	0	4	25
R0[4,26]	0.821 	1.526E-3 	-	0.644	1.000	1.000	154	0	4	26
R0[5,0]	0.731 	1.918E-3 	-	0.598	1.000	1.000	160	0	5	0
R0[5,1]	0.772 	2.345E-3 	-	0.648	1.000	1.000	161	0	5	1
R0[5,2]	0.607 	2.620E-3 	-	0.853	1.000	1.000	162	0	5	2
R0[5,3]	0.673 	2.733E-3 	-	0.781	1.000	1.000	163	0	5	3
R0[5,4]	0.796 	2.043E-3 	-	0.767	1.000	1.000	164	0	5	4
R0[5,5]	0.791 	1.277E-3 	-	0.790	1.000	1.000	165	0	5	5
R0[5,7]	0.798 	1.726E-3 	-	0.793	1.000	1.000	167	0	5	7
R0[5,8]	0.028 	1.097E-2 	gn	0.726	1.000	1.000	168	0	5	8
R0[5,9]	0.837 	1.891E-3 	-	0.703	1.000	1.000	169	0	5	9
R0[5,10]	0.883 	1.572E-3 	-	0.720	1.000	1.000	170	0	5	10
R0[5,11]	0.903 	7.131E-4 	-	0.638	1.000	1.000	171	0	5	11
R0[5,12]	-0.000 	9.777E-3 	gn	23.162	1.000	1.000	172	0	5	12
R0[5,13]	0.886 	7.924E-4 	-	0.682	1.000	1.000	173	0	5	13
R0[5,14]	0.973 	9.202E-4 	-	0.635	1.000	1.000	174	0	5	14
