# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-25_HA_F445-90_0086_13-120
# Object: W3
# Date: 2017-10-25T09:39:05.620 (MJD: 58051.40294912037)
# Project: 90_0086_13
# Exposure: 82.91676 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: -08d05m04.29s 55d47m09.26s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[4,24]	0.001 	1.244E-3 	gn	14.491	1.000	1.000	152	0	4	24
R0[4,25]	0.837 	2.644E-4 	-	0.666	1.000	1.000	153	0	4	25
R0[4,26]	0.808 	4.502E-4 	-	0.651	1.000	1.000	154	0	4	26
R0[4,28]	0.002 	8.050E-4 	gn	2.394	1.000	1.000	156	0	4	28
R0[4,29]	0.753 	4.227E-4 	-	0.716	1.000	1.000	157	0	4	29
R0[4,30]	0.732 	4.779E-4 	-	0.708	1.000	1.000	158	0	4	30
R0[4,31]	0.634 	5.531E-4 	-	0.802	1.000	1.000	159	0	4	31
R0[5,0]	0.704 	5.658E-4 	-	0.589	1.000	1.000	160	0	5	0
R0[5,1]	0.761 	5.265E-4 	-	0.639	1.000	1.000	161	0	5	1
R0[5,2]	0.611 	7.807E-4 	-	0.750	1.000	1.000	162	0	5	2
R0[5,3]	0.678 	6.232E-4 	-	0.747	1.000	1.000	163	0	5	3
R0[5,4]	0.758 	5.560E-4 	-	0.756	1.000	1.000	164	0	5	4
R0[5,5]	0.779 	4.384E-4 	-	0.789	1.000	1.000	165	0	5	5
R0[5,7]	0.812 	5.054E-4 	-	0.774	1.000	1.000	167	0	5	7
R0[5,8]	-0.067 	4.841E-4 	gn	0.634	1.000	1.000	168	0	5	8
R0[5,9]	0.826 	4.996E-4 	-	0.747	1.000	1.000	169	0	5	9
R0[5,10]	0.861 	4.181E-4 	-	0.712	1.000	1.000	170	0	5	10
R0[5,11]	0.884 	2.827E-4 	-	0.704	1.000	1.000	171	0	5	11
R0[5,12]	0.003 	7.802E-4 	gn	-7.684	1.000	1.000	172	0	5	12
R0[5,13]	0.875 	2.963E-4 	-	0.679	1.000	1.000	173	0	5	13
R0[5,14]	0.941 	2.476E-4 	-	0.649	1.000	1.000	174	0	5	14
R0[5,15]	0.978 	3.561E-4 	-	0.678	1.000	1.000	175	0	5	15
R0[5,16]	1.209 	2.653E-4 	-	0.612	1.000	1.000	176	0	5	16
R0[5,17]	1.001 	3.325E-4 	-	0.663	1.000	1.000	177	0	5	17
R0[5,18]	0.941 	2.816E-4 	-	0.643	1.000	1.000	178	0	5	18
R0[5,19]	0.900 	3.321E-4 	-	0.653	1.000	1.000	179	0	5	19
R0[5,21]	0.848 	3.948E-4 	-	0.671	1.000	1.000	181	0	5	21
R0[5,22]	0.862 	4.252E-4 	-	0.646	1.000	1.000	182	0	5	22
R0[5,23]	0.871 	4.145E-4 	-	0.635	1.000	1.000	183	0	5	23
R0[5,24]	0.001 	1.255E-3 	gn	14.918	1.000	1.000	184	0	5	24
R0[5,25]	0.858 	4.469E-4 	-	0.618	1.000	1.000	185	0	5	25
R0[5,26]	0.565 	8.639E-4 	-	0.638	1.000	1.000	186	0	5	26
R0[5,28]	-1.237 	5.557E-10 	gn	-117.175	1.000	1.000	188	0	5	28
R0[5,29]	0.800 	4.193E-4 	-	0.685	1.000	1.000	189	0	5	29
R0[5,30]	0.831 	3.802E-4 	-	0.669	1.000	1.000	190	0	5	30
R0[5,31]	0.715 	5.046E-4 	-	0.761	1.000	1.000	191	0	5	31
R0[6,0]	0.685 	5.528E-4 	-	0.729	1.000	1.000	192	0	6	0
R0[6,1]	0.710 	5.485E-4 	-	0.778	1.000	1.000	193	0	6	1
R0[6,2]	0.674 	5.956E-4 	-	0.837	1.000	1.000	194	0	6	2
R0[6,3]	1.069 	1.408E-4 	-	0.823	1.000	1.000	195	0	6	3
R0[6,4]	0.975 	2.292E-4 	-	0.744	1.000	1.000	196	0	6	4
R0[6,5]	1.175 	3.032E-4 	-	0.680	1.000	1.000	197	0	6	5
R0[6,7]	0.862 	4.496E-4 	-	0.752	1.000	1.000	199	0	6	7
R0[6,8]	0.905 	3.600E-4 	-	0.739	1.000	1.000	200	0	6	8
R0[6,9]	0.951 	3.692E-4 	-	0.723	1.000	1.000	201	0	6	9
R0[6,10]	1.021 	2.317E-4 	-	0.698	1.000	1.000	202	0	6	10
R0[6,11]	0.004 	8.065E-4 	gn	1.495	1.000	1.000	203	0	6	11
R0[6,12]	0.932 	1.252E-4 	-	0.695	1.000	1.000	204	0	6	12
R0[6,13]	0.964 	2.838E-4 	-	0.679	1.000	1.000	205	0	6	13
R0[6,14]	0.982 	3.619E-4 	-	0.644	1.000	1.000	206	0	6	14
R0[6,15]	1.030 	2.804E-4 	-	0.651	1.000	1.000	207	0	6	15
R0[6,16]	1.105 	2.240E-4 	-	0.680	1.000	1.000	208	0	6	16
R0[6,17]	0.004 	1.056E-3 	gn	-1.025	1.000	1.000	209	0	6	17
R0[6,18]	0.001 	1.080E-3 	gn	0.786	1.000	1.000	210	0	6	18
R0[6,19]	0.916 	3.189E-4 	-	0.684	1.000	1.000	211	0	6	19
