# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.962799999999998 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[4,12]	0.979 	1.140E-3 	-	0.689	1.000	1.000	140	0	4	12
R0[4,13]	0.952 	1.291E-3 	-	0.710	1.000	1.000	141	0	4	13
R0[4,14]	0.975 	2.134E-3 	-	0.677	1.000	1.000	142	0	4	14
R0[4,15]	1.286 	1.362E-3 	-	0.547	1.000	1.000	143	0	4	15
R0[4,16]	1.068 	1.833E-3 	-	0.632	1.000	1.000	144	0	4	16
R0[4,17]	1.020 	2.066E-3 	-	0.636	1.000	1.000	145	0	4	17
R0[4,18]	1.074 	1.952E-3 	-	0.628	1.000	1.000	146	0	4	18
R0[4,19]	0.002 	6.344E-3 	gn	-10.345	1.000	1.000	147	0	4	19
R0[4,21]	0.211 	1.044E-2 	g	0.616	1.000	1.000	149	0	4	21
R0[4,22]	0.954 	1.678E-3 	-	0.646	1.000	1.000	150	0	4	22
R0[4,23]	0.983 	1.392E-3 	-	0.637	1.000	1.000	151	0	4	23
R0[4,24]	-0.001 	1.490E-2 	gn	33.258	1.000	1.000	152	0	4	24
R0[4,25]	0.977 	1.728E-3 	-	0.667	1.000	1.000	153	0	4	25
R0[4,26]	0.927 	2.514E-3 	-	0.674	1.000	1.000	154	0	4	26
R0[5,0]	0.757 	1.025E-3 	B	0.032	1.000	1.000	160	0	5	0
R0[5,1]	0.795 	9.997E-4 	B	0.017	1.000	1.000	161	0	5	1
R0[5,2]	0.612 	1.577E-3 	B	0.013	1.000	1.000	162	0	5	2
R0[5,3]	0.684 	1.434E-3 	B	0.014	1.000	1.000	163	0	5	3
R0[5,4]	0.787 	9.322E-4 	B	0.054	1.000	1.000	164	0	5	4
R0[5,5]	0.835 	2.532E-3 	-	0.286	1.000	1.000	165	0	5	5
R0[5,7]	0.863 	2.355E-3 	-	0.581	1.000	1.000	167	0	5	7
R0[5,8]	0.026 	9.437E-3 	gn	0.217	1.000	1.000	168	0	5	8
R0[5,9]	0.929 	2.320E-3 	-	0.658	1.000	1.000	169	0	5	9
R0[5,10]	0.976 	2.659E-3 	-	0.659	1.000	1.000	170	0	5	10
R0[5,11]	0.986 	6.926E-4 	-	0.680	1.000	1.000	171	0	5	11
R0[5,12]	0.000 	1.779E-2 	gn	-19.854	1.000	1.000	172	0	5	12
R0[5,13]	0.992 	2.336E-3 	-	0.673	1.000	1.000	173	0	5	13
R0[5,14]	1.098 	9.719E-4 	-	0.642	1.000	1.000	174	0	5	14
R0[5,15]	1.164 	1.491E-3 	-	0.614	1.000	1.000	175	0	5	15
R0[5,16]	1.420 	1.465E-3 	-	0.560	1.000	1.000	176	0	5	16
R0[5,17]	1.172 	1.859E-3 	-	0.589	1.000	1.000	177	0	5	17
R0[5,18]	1.109 	1.423E-3 	-	0.637	1.000	1.000	178	0	5	18
R0[5,19]	1.040 	1.588E-3 	-	0.637	1.000	1.000	179	0	5	19
R0[5,21]	0.981 	2.353E-3 	-	0.674	1.000	1.000	181	0	5	21
R0[5,22]	0.994 	1.611E-3 	-	0.667	1.000	1.000	182	0	5	22
R0[5,23]	1.005 	1.924E-3 	-	0.648	1.000	1.000	183	0	5	23
R0[5,24]	-0.001 	1.429E-2 	gn	28.152	1.000	1.000	184	0	5	24
R0[5,25]	0.987 	2.546E-3 	-	0.658	1.000	1.000	185	0	5	25
R0[5,26]	0.670 	3.402E-3 	-	0.655	1.000	1.000	186	0	5	26
R0[6,0]	0.676 	9.644E-4 	B	0.019	1.000	1.000	192	0	6	0
R0[6,1]	0.674 	1.137E-3 	B	0.017	1.000	1.000	193	0	6	1
R0[6,2]	0.609 	1.425E-3 	B	0.015	1.000	1.000	194	0	6	2
R0[6,3]	0.990 	3.352E-4 	B	0.020	1.000	1.000	195	0	6	3
R0[6,4]	0.941 	7.755E-4 	B	0.058	1.000	1.000	196	0	6	4
R0[6,5]	1.195 	1.176E-3 	-	0.317	1.000	1.000	197	0	6	5
R0[6,7]	0.899 	2.596E-3 	-	0.595	1.000	1.000	199	0	6	7
R0[6,8]	0.945 	2.433E-3 	-	0.630	1.000	1.000	200	0	6	8
R0[6,9]	1.004 	2.555E-3 	-	0.661	1.000	1.000	201	0	6	9
R0[6,10]	1.115 	6.986E-4 	-	0.672	1.000	1.000	202	0	6	10
R0[6,11]	0.003 	2.296E-2 	gn	-1.971	1.000	1.000	203	0	6	11
R0[6,12]	0.990 	8.266E-4 	-	0.685	1.000	1.000	204	0	6	12
R0[6,13]	1.020 	1.698E-3 	-	0.673	1.000	1.000	205	0	6	13
R0[6,14]	1.086 	1.446E-3 	-	0.627	1.000	1.000	206	0	6	14
R0[6,15]	1.129 	1.311E-3 	-	0.608	1.000	1.000	207	0	6	15
R0[6,16]	1.233 	1.429E-3 	-	0.598	1.000	1.000	208	0	6	16
R0[6,17]	0.001 	2.627E-2 	gn	-15.145	1.000	1.000	209	0	6	17
R0[6,18]	-0.001 	1.977E-3 	gn	17.353	1.000	1.000	210	0	6	18
R0[6,19]	1.000 	1.536E-3 	-	0.651	1.000	1.000	211	0	6	19
