# Note: Dates are *start* dates of applicability, i.e. they should be just
# before the flight series they apply to.
# Date   ch   g0           NP           a            PS           QOFF         QS           ISOFF1       ISOFF2       ISOFF3       ISOFF4       ISOFF5       ISOFF6       ISOFF7       ISOFF8       ISOFF9       ISOFF10      ISOFF11      ISOFF12      ISOFF13      ISOFF14      ISOFF15      ISOFF16      ISOFF17      ISOFF18      ISOFF19      ISOFF20      ISOFF21      ISOFF22      ISOFF23      ISOFF24      ISOFF25
# 1402
20180201 R105 0.117159611  14.321369    421.63955    0.000587827  5.985657286  1.46e-06     1150548.295  1150699.475  1150870.923  1151030.105  1151224.993  1149905.904  1149962.552  1150062.941  1150150.564  1150326.09   1149522.681  1149517.122  1149533.423  1149547.375  1149722.547  1149782.492  1149671.521  1149609.417  1149536.625  1149716.865  1150503.457  1150336.458  1150181.909  1150036.195  1150203.82
20180201 R130 0.117146592  14.22883383  428.9769849  0.000586693  6.097634057  1.56e-06     1150979.943  1151122.298  1151285.335  1151449.341  1151632.985  1150354.522  1150400.75   1150500.362  1150591.768  1150752.814  1149969.986  1149958.732  1149980.003  1150001.016  1150149.713  1150199.168  1150092.202  1150033.51   1149980.266  1150137.792  1150883.842  1150717.207  1150574.576  1150447.483  1150592.139
20180201 B1   0.082656638  13.46350894  793.6388717  0.000548368  6.916344984  1.12e-05     1075547.216  1075441.022  1075453.205  1075456.679  1075103.221  1075227.887  1075134.565  1075163.98   1075147.351  1074860.493  1075102.318  1075009.622  1074979.096  1074989.585  1074775.74   1075098.354  1074999.986  1074980.944  1074971.773  1074747.654  1075374.241  1075247.14   1075195.719  1075169.557  1074910.414
20180201 B2   0.082659976  14.10294671  750.8855472  0.000552839  6.598050006  8.24e-06     1075473.643  1075434.211  1075453.139  1075460.462  1075083.446  1075164.853  1075124.715  1075157.429  1075149.771  1074821.924  1075048.099  1074994.251  1074972.618  1074987.313  1074718.28   1075066.868  1075008.08   1074977.554  1074942.315  1074684.814  1075366.445  1075274.738  1075201.725  1075164.246  1074856.774
# 1807
20180701 R105 0.117156225  14.32434507  423.9484392  0.000587442  5.927567612  1.52e-06     1150363.059  1150511.213  1150681.046  1150837.553  1151036.085  1149723.717  1149780.872  1149880.019  1149966.723  1150137.968  1149344.477  1149340.063  1149356.218  1149370.24   1149532.137  1149598.36   1149490.771  1149432.194  1149359.6    1149527.241  1150316.547  1150152.578  1149997.004  1149854.319  1150012.732
20180701 R130 0.11714742   14.41231962  421.7643245  0.000587472  6.269490601  1.62e-06     1150662.077  1150805.965  1150971.884  1151137.917  1151331.877  1150033.351  1150078.391  1150177.265  1150268.527  1150429.397  1149656.566  1149644.989  1149664.304  1149682.421  1149810.971  1149911.89   1149799.224  1149743.455  1149677.444  1149800.842  1150634.924  1150467.615  1150317.374  1150181.943  1150274.581
20180701 B1   0.082653788  13.63432927  849.7988876  0.000548714  6.775551463  1.15e-05     1075427.356  1075316.342  1075327.96   1075335.6    1075013.312  1075142.667  1075035.72   1075061.471  1075051.332  1074786.147  1075034.863  1074927.417  1074885.206  1074904.497  1074714.342  1075012.905  1074912.134  1074894.321  1074886.668  1074683.732  1075268.613  1075141.675  1075080.405  1075066.734  1074839.051
20180701 B2   0.082658466  14.1749157   768.7008914  0.000558056  6.480782697  7.48e-06     1075395.451  1075334.043  1075355.545  1075360.681  1075013.604  1075091.293  1075040.977  1075064.165  1075061.533  1074757.382  1074978.64   1074912.876  1074887.064  1074904.965  1074660.001  1074988.515  1074918.594  1074894.561  1074865.32   1074618.523  1075283.158  1075170.41   1075113.174  1075078.197  1074788.58
# 1810
20181001 R105 0.117156639  14.29322853  425.3338611  0.000587222  6.236073606  1.57e-06     1150563.36   1150711.05   1150881.201  1151036.386  1151232.66   1149927.259  1149985.117  1150082.726  1150169.752  1150337.851  1149546.92   1149542.368  1149557.717  1149573.384  1149732.711  1149797.617  1149691.231  1149633.19   1149560.269  1149718.037  1150525.613  1150348.108  1150194.9    1150051.927  1150197.071
20181001 R130 0.117148692  14.37367602  424.5720827  0.000586081  6.201132234  1.77e-06     1150841.158  1150980.963  1151145.817  1151309.281  1151502.053  1150216.022  1150261.149  1150356.366  1150450.032  1150605.195  1149838.557  1149823.526  1149844.535  1149865.052  1149993.698  1150084.698  1149975.28   1149917.204  1149855.424  1149979.609  1150776.261  1150629.027  1150480.338  1150347.593  1150446.175
20181001 B1   0.082654642  13.80495342  796.1169851  0.000551673  6.751251378  1.11e-05     1075221.956  1075045.064  1075053.261  1075077.95   1074834.942  1074897.432  1074744.655  1074768.7    1074770.865  1074581.749  1074780.662  1074638.734  1074592.338  1074612.672  1074478.93   1074761.808  1074620.143  1074598.223  1074592.165  1074444.534  1075036.138  1074874.147  1074810.316  1074789.425  1074613.528
